f433334592cf417db97b3dc7ba6958ba,Research Foundation Review 2019,https://rpc.cfainstitute.org/research/foundation/2020/research-foundation-review-2019
b6f3fd8f0ff1460cad9e05682d057f27,ETFs and Systemic Risks,https://rpc.cfainstitute.org/research/foundation/2020/etfs-and-systemic-risks
2fac32c918524a57b2adb15f3b96dc65,Performance Attribution: History and Progress,https://rpc.cfainstitute.org/research/foundation/2019/performance-attribution
46cfff8c70cf4e13bf715d686855045a,Behavioral Finance: The Second Generation,https://rpc.cfainstitute.org/research/foundation/2019/behavioral-finance-the-second-generation
3b083796407f461689185dcbe518ea80,African Capital Markets: Challenges and Opportunities,https://rpc.cfainstitute.org/research/foundation/2019/african-capital-markets
5ebb6e027a694008bc4dc281dea0a8b1,The Productivity Puzzle: Restoring Economic Dynamism,https://rpc.cfainstitute.org/research/foundation/2019/the-productivity-puzzle
6835fbac49374a4c8f39a75ed8796af5,Secure Retirement: Connecting Financial Theory and Human Behavior,https://rpc.cfainstitute.org/research/foundation/2019/secure-retirement
934f460d57634dd8876b8e0bc26c6d66,A Cash-Flow Focus for Endowments and Trusts,https://rpc.cfainstitute.org/research/foundation/2019/cash-flow-focus-endowments-trusts
2292bbe474f543a7aaa84f69ea2aad2a,University Endowments: A Primer,https://rpc.cfainstitute.org/research/foundation/2019/university-endowments-primer
00ec5594e45e40ad9fddff9dfc8b05dc,Tontines: A Practitioner's Guide to Mortality-Pooled Investments,https://rpc.cfainstitute.org/research/foundation/2019/tontines
125a66d8820942958d10352975df5be3,Ten Years After: Reflections on the Global Financial Crisis,https://rpc.cfainstitute.org/research/foundation/2019/ten-years-after
9902f24f5e614dce88ae8f5202f31996,Research Foundation Review 2018,https://rpc.cfainstitute.org/research/foundation/2019/research-foundation-review-2018
a7270666e49b4d9393137f1f62e7caf4,Investment Governance for Fiduciaries,https://rpc.cfainstitute.org/research/foundation/2019/investment-governance-for-fiduciaries
9d54bfa2f5cb4c7e9959c371fb9892d3,Relationship Alpha,https://rpc.cfainstitute.org/research/foundation/2019/beyer-brief
34e8dce0af0a466c9198872335987ad6,Popularity: A Bridge between Classical and Behavioral Finance,https://rpc.cfainstitute.org/research/foundation/2018/popularity-bridge-between-classical-and-behavioral-finance
5662f341db17432690d9b760ee5a09d3,The Future of Investment Management,https://rpc.cfainstitute.org/research/foundation/2018/future-of-investment-management
8bdeb8d116c14458980ce75988cd14c6,Some Like It Hedged,https://rpc.cfainstitute.org/research/foundation/2018/some-like-it-hedged
f2acd33b27604a358d16bc3b42ab55d8,Mainstreaming Sustainable Investing,https://rpc.cfainstitute.org/research/foundation/2018/mainstreaming-sustainable-investing
384cf7107244419293f393518e1372a3,Foundations of High-Yield Analysis,https://rpc.cfainstitute.org/research/foundation/2018/foundations-of-high-yield-analysis
d0b518fe151445a282fd05fc40db36d1,The Current State of Quantitative Equity Investing,https://rpc.cfainstitute.org/research/foundation/2018/current-state-of-quantitative-equity-investing
52af53cc2f5e42558253aa572a55b78a,Risk Profiling and Tolerance: Insights for the Private Wealth Manager,https://rpc.cfainstitute.org/research/foundation/2018/risk-profiling-and-tolerance
abe1d9e6650d41a4aed10ef3d6acacd9,Risk Tolerance and Circumstances,https://rpc.cfainstitute.org/research/foundation/2018/risk-tolerance-and-circumstances
33ab4f09e6f54487b1b1b37f42a8ab1b,Research Foundation Review 2017,https://rpc.cfainstitute.org/research/foundation/2018/research-foundation-review-2017
cea35522f0d54e0696026d1dc658f1ea,Alternative Investments: A Primer for Investment Professionals,https://rpc.cfainstitute.org/research/foundation/2018/alternative-investments-a-primer-for-investment-professionals
75c08af14ddc43c18e2f23e325f10adb,Handbook on Sustainable Investments: Background Information and Practical Examples for Institutional Asset Owners,https://rpc.cfainstitute.org/research/foundation/2017/handbook-on-sustainable-investments
26a8cf962efe4b558e7043ec8e2f23ab,"Equity Valuation: Science, Art, or Craft?",https://rpc.cfainstitute.org/research/foundation/2017/equity-valuation-science-art-or-craft
fb8000546a494cdcb19b1850c6d38ae8,The Equity Risk Premium: A Contextual Literature Review,https://rpc.cfainstitute.org/research/foundation/2017/equity-risk-premium
